day,hour,seat_loc,성별,나이,행동,복장,이어폰여부,내리는역,좌석위치,연령대,count
2017-09-05,08:35,0,여자,20,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,청년,1
2017-09-05,08:35,1,여자,30,생각중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-05,08:35,2,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,중앙,청년,1
2017-09-05,08:35,3,남자,40,책읽기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-05,08:35,4,여자,60,책읽기,세미정장,이어폰:X,강남역,중앙,장년,1
2017-09-05,08:35,5,여자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-09-05,08:35,6,여자,50,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-07-27,08:35,0,남자,30,생각중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-07-27,08:35,1,여자,30,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-27,08:35,2,남자,40,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-07-27,08:35,3,남자,40,잠자는중,정장,이어폰:X,강남역,중앙,중년,1
2017-07-27,08:35,4,여자,40,잠자는중,세미정장,이어폰:X,판교/정자역,중앙,중년,1
2017-07-27,08:35,5,남자,60,생각중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-07-27,08:35,6,남자,40,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-08-18,08:35,0,남자,40,잠자는중,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-18,08:35,1,여자,30,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-18,08:35,2,여자,30,잠자는중,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-08-18,08:35,3,여자,30,토크,정장,이어폰:X,강남역,중앙,중년,1
2017-08-18,08:35,4,여자,20,토크,정장,이어폰:X,강남역,중앙,청년,1
2017-08-18,08:35,5,남자,30,토크,정장,이어폰:X,강남역,우측:사이드,중년,1
2017-08-18,08:35,6,여자,20,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,청년,1
2017-09-11,08:30,0,남자,40,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-09-11,08:30,1,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-09-11,08:30,2,여자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,중년,1
2017-09-11,08:30,3,남자,30,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-11,08:30,4,남자,10,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,청년,1
2017-09-11,08:30,5,남자,10,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,청년,1
2017-09-11,08:30,6,여자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-09-12,08:07,0,여자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-12,08:07,1,남자,40,핸드폰보기,세미정장,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-09-12,08:07,2,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-12,08:07,3,남자,40,핸드폰보기,세미정장,이어폰:O,강남역,중앙,중년,1
2017-09-12,08:07,4,남자,40,잠자는중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-12,08:07,5,여자,30,잠자는중,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-09-12,08:07,6,여자,60,토크,평상복,이어폰:X,강남역,우측:사이드,장년,1
2017-09-19,08:28,0,남자,40,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-19,08:28,1,남자,40,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-19,08:28,2,여자,30,책읽기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-19,08:28,3,남자,40,생각중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-19,08:28,4,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-19,08:28,5,여자,40,잠자는중,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-09-19,08:28,6,여자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-08-14,08:40,0,여자,20,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,청년,1
2017-08-14,08:40,1,여자,30,잠자는중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-08-14,08:40,2,여자,30,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-14,08:40,3,남자,40,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-08-14,08:40,4,남자,30,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-14,08:40,5,남자,30,잠자는중,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-14,08:40,6,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-07-18,08:40,0,여자,20,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,청년,1
2017-07-18,08:40,1,남자,30,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-18,08:40,2,남자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-07-18,08:40,3,남자,20,핸드폰보기,평상복,이어폰:X,강남역,중앙,청년,1
2017-07-18,08:40,4,여자,30,잠자는중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-18,08:40,5,여자,20,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,청년,1
2017-07-18,08:40,6,여자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-09-20,07:44,0,남자,20,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,청년,1
2017-09-20,07:44,1,여자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-20,07:44,2,여자,20,잠자는중,세미정장,이어폰:X,강남역,중앙,청년,1
2017-09-20,07:44,3,남자,20,잠자는중,평상복,이어폰:O,강남역,중앙,청년,1
2017-09-20,07:44,4,여자,40,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-09-20,07:44,5,남자,30,생각중,세미정장,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-09-20,07:44,6,여자,30,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-07-24,07:35,0,여자,30,잠자는중,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-07-24,07:35,1,여자,40,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-24,07:35,2,남자,40,핸드폰보기,정장,이어폰:X,강남역,중앙,중년,1
2017-07-24,07:35,3,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-24,07:35,4,여자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-07-24,07:35,5,여자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-07-24,07:35,6,남자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-07-21,07:30,0,남자,40,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-21,07:30,1,남자,40,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-07-21,07:30,2,여자,30,핸드폰보기,세미정장,이어폰:O,강남역,중앙,중년,1
2017-07-21,07:30,3,남자,40,생각중,평상복,이어폰:X,강남역,중앙,중년,1
2017-07-21,07:30,4,여자,40,생각중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-21,07:30,5,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-07-21,07:30,6,여자,30,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-07-17,08:17,0,여자,20,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,청년,1
2017-07-17,08:17,1,여자,30,잠자는중,세미정장,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-07-17,08:17,2,남자,40,잠자는중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-17,08:17,3,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-17,08:17,4,남자,30,책읽기,평상복,이어폰:O,강남역,중앙,중년,1
2017-07-17,08:17,5,여자,40,잠자는중,세미정장,이어폰:X,판교/정자역,우측:사이드,중년,1
2017-07-17,08:17,6,여자,30,생각중,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-09-06,07:40,0,남자,40,핸드폰보기,세미정장,이어폰:O,강남역,좌측:사이드,중년,1
2017-09-06,07:40,1,남자,40,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-09-06,07:40,2,남자,40,잠자는중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-09-06,07:40,3,남자,40,생각중,세미정장,이어폰:O,판교/정자역,중앙,중년,1
2017-09-06,07:40,4,남자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-06,07:40,5,남자,40,잠자는중,정장,이어폰:X,강남역,우측:사이드,중년,1
2017-09-06,07:40,6,여자,40,핸드폰보기,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-08-30,08:10,0,여자,50,책읽기,세미정장,이어폰:X,강남역,좌측:사이드,장년,1
2017-08-30,08:10,1,여자,30,핸드폰보기,세미정장,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-30,08:10,2,남자,50,핸드폰보기,평상복,이어폰:X,강남역,중앙,장년,1
2017-08-30,08:10,3,여자,30,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-30,08:10,4,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,중앙,청년,1
2017-08-30,08:10,5,여자,30,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-08-30,08:10,6,여자,20,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,청년,1
2017-09-28,07:13,0,남자,50,책읽기,평상복,이어폰:X,판교/정자역,좌측:사이드,장년,1
2017-09-28,07:13,1,남자,40,잠자는중,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-09-28,07:13,2,여자,30,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-28,07:13,3,남자,50,생각중,세미정장,이어폰:O,강남역,중앙,장년,1
2017-09-28,07:13,4,남자,40,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-09-28,07:13,5,남자,40,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-09-28,07:13,6,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-09-27,07:24,0,여자,30,잠자는중,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-09-27,07:24,1,여자,40,잠자는중,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-27,07:24,2,남자,50,잠자는중,정장,이어폰:X,강남역,중앙,장년,1
2017-09-27,07:24,3,남자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,중앙,중년,1
2017-09-27,07:24,4,남자,30,잠자는중,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-27,07:24,5,남자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-09-27,07:24,6,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,우측:사이드,청년,1
2017-09-15,08:20,0,여자,20,잠자는중,평상복,이어폰:O,판교/정자역,좌측:사이드,청년,1
2017-09-15,08:20,1,여자,30,잠자는중,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-09-15,08:20,2,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-09-15,08:20,3,여자,40,잠자는중,세미정장,이어폰:X,강남역,중앙,중년,1
2017-09-15,08:20,4,남자,30,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-09-15,08:20,5,여자,30,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-09-15,08:20,6,여자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,우측:사이드,중년,1
2017-08-02,07:12,0,여자,30,잠자는중,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-02,07:12,1,여자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-02,07:12,2,남자,40,책읽기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-02,07:12,3,남자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-02,07:12,4,남자,60,생각중,세미정장,이어폰:O,강남역,중앙,장년,1
2017-08-02,07:12,5,남자,60,잠자는중,평상복,이어폰:O,강남역,우측:사이드,장년,1
2017-08-02,07:12,6,남자,20,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,청년,1
2017-08-17,08:52,0,여자,30,핸드폰보기,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-17,08:52,1,남자,30,핸드폰보기,평상복,이어폰:O,강남역,좌측:사이드,중년,1
2017-08-17,08:52,2,남자,40,핸드폰보기,평상복,이어폰:O,강남역,중앙,중년,1
2017-08-17,08:52,3,여자,50,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-17,08:52,4,남자,20,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,청년,1
2017-08-17,08:52,5,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-17,08:52,6,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,우측:사이드,중년,1
2017-09-07,08:21,0,여자,40,잠자는중,세미정장,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-07,08:21,1,여자,40,핸드폰보기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-09-07,08:21,2,여자,30,잠자는중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-07,08:21,3,여자,30,잠자는중,평상복,이어폰:O,강남역,중앙,중년,1
2017-09-07,08:21,4,여자,20,핸드폰보기,평상복,이어폰:O,강남역,중앙,청년,1
2017-09-07,08:21,5,여자,30,핸드폰보기,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-09-07,08:21,6,여자,40,잠자는중,평상복,이어폰:X,강남역,우측:사이드,중년,1
2017-08-23,07:48,0,남자,30,핸드폰보기,세미정장,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-08-23,07:48,1,여자,40,핸드폰보기,세미정장,이어폰:X,강남역,좌측:사이드,중년,1
2017-08-23,07:48,2,여자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-08-23,07:48,3,여자,30,잠자는중,세미정장,이어폰:O,강남역,중앙,중년,1
2017-08-23,07:48,4,남자,40,핸드폰보기,평상복,이어폰:X,강남역,중앙,중년,1
2017-08-23,07:48,5,남자,30,핸드폰보기,평상복,이어폰:O,강남역,우측:사이드,중년,1
2017-08-23,07:48,6,남자,40,잠자는중,세미정장,이어폰:O,강남역,우측:사이드,중년,1
2017-07-20,08:06,0,남자,50,잠자는중,세미정장,이어폰:X,판교/정자역,좌측:사이드,장년,1
2017-07-20,08:06,1,여자,30,잠자는중,평상복,이어폰:X,강남역,좌측:사이드,중년,1
2017-07-20,08:06,2,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,중앙,중년,1
2017-07-20,08:06,3,여자,40,생각중,세미정장,이어폰:X,판교/정자역,중앙,중년,1
2017-07-20,08:06,4,남자,30,핸드폰보기,세미정장,이어폰:X,강남역,중앙,중년,1
2017-07-20,08:06,5,여자,50,잠자는중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-07-20,08:06,6,남자,60,생각중,세미정장,이어폰:X,강남역,우측:사이드,장년,1
2017-08-03,08:20,0,남자,30,핸드폰보기,평상복,이어폰:O,판교/정자역,좌측:사이드,중년,1
2017-08-03,08:20,1,남자,30,핸드폰보기,평상복,이어폰:X,판교/정자역,좌측:사이드,중년,1
2017-08-03,08:20,2,남자,40,핸드폰보기,세미정장,이어폰:O,강남역,중앙,중년,1
2017-08-03,08:20,3,남자,50,잠자는중,세미정장,이어폰:X,강남역,중앙,장년,1
2017-08-03,08:20,4,여자,20,핸드폰보기,세미정장,이어폰:O,강남역,중앙,청년,1
